Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2015-11-01,-0.77316415,0.40942943,-1.9674243,-0.19426548,1.5894184,-0.80647266,3.0131311,-0.13110667,-1.2747662,3.216824,1.2230575,-1.2857414,-0.9399678,-0.22740376,0.26661074,2.8723993,0.2344724,0.8773494,0.076518536,1.5305717,2.0649624,0.87080187,1.4056304,-0.36789685,-3.75704,1.9819525,-0.67589706,2.828703,0.471156,1.9481653,-1.3632786,-0.28418732,1.5531135,-0.7794118,-0.34961846,3.5285583,-1.5117551,0.74250627,1.7205883,-2.2150428,-1.1542366,-1.102517,-0.09292005,1.2382565,0.30675903,0.5943302,-1.3361595,0.10943882,2.0147803,2.8323088,-1.0899613,-1.27345,-1.414684,-1.9975071,3.177051,2.9536283,-1.6754104,-1.6623857,-1.0164614,-2.8181148,0.34323448,0.75092244,2.186696,0.5932828,1.9685109,-3.0575833,-1.539019,3.2642636,1.9779631,-1.5023041,1.9708507,1.8187935,3.6339116,-1.6305411,-1.4902813,1.0156267,0.68173176,-1.9292254,-0.12724037,-0.9953102,-3.3128276,0.28276592,0.8453289,-0.9904418,1.3535281,-1.0309628,0.106806636,-0.5360484,-1.867839,-2.094843,1.858297,-1.143137,-0.012872085,2.5454497,-1.4089135,2.8358805,-4.650385,2.8298848,-3.892387,-2.0270677
2015-11-08,-0.37579188,1.2821914,-1.7693113,-1.7684045,0.960811,-1.4018407,-0.13893393,0.26052183,-1.1842077,4.098715,-0.5358447,-1.4983143,-1.1950917,4.389975,0.2757584,0.9707169,1.5617914,0.064703226,-2.0031881,2.5912466,-3.9089289,-0.29365188,3.0437033,0.04246322,-2.4092555,0.47703683,1.4037803,2.0008533,1.2814872,1.0704916,-1.0426228,-1.3063968,2.2420974,-4.384311,0.39755324,-3.0993268,-0.9467146,0.095864534,3.3128977,-2.650723,-2.4625258,2.9496503,-0.503777,-0.87706864,-0.5544894,-2.6934278,-2.184165,0.8351625,2.9535754,-0.3394116,-2.9619968,-2.1633525,-1.9516556,2.16763,-1.6638225,0.44068235,-0.8394718,-2.7149754,-0.7272502,-2.4529006,-0.26534495,-2.039925,-1.4281683,0.78929216,-0.54848456,-2.5378487,-1.7259479,1.3136626,1.6212873,-1.3880141,0.26171038,1.5969806,3.416097,-1.0864437,-1.5480688,-2.385417,0.6697137,1.8106751,-0.57961917,-0.7637368,-0.72919595,0.22792298,-2.274273,0.1649691,1.8498231,-0.85356563,0.048403952,-2.130817,-0.39289737,0.70539963,1.4277822,-2.9276576,0.5040123,-0.06258035,3.1752477,-1.1476235,-2.6537564,2.1550634,-1.4333205,-1.319588
2015-11-15,0.27006036,1.8966693,0.16080439,0.100467026,-1.59364,-0.67315805,0.15835097,1.7097161,-0.97631,-1.4883654,4.481466,-1.3858466,-0.059617907,0.20250243,-0.022255182,0.7470828,0.4869851,1.6891315,-1.1918457,2.1460752,2.201854,-0.5665393,0.21283662,-1.3244973,-1.5925541,0.8822763,1.310521,-0.11918247,0.92671347,0.5778296,-2.2625515,-1.5846957,0.72309905,0.89934236,-0.6777109,-3.0940351,1.0512168,-1.5143294,3.3431869,-0.32563812,-0.082784355,2.3930416,-0.9920881,1.1543924,-0.8352215,0.41694528,-1.4278075,0.3714962,-1.1784127,2.3340626,-1.7803183,-0.5141743,-0.94253814,0.14850007,-0.057792902,1.4466457,-2.8058724,-2.6967282,-1.2861551,2.4824874,0.91605103,-2.3823323,-2.6091945,1.423482,-0.6154429,-1.7386514,-0.74845994,1.321324,1.5529929,-0.6172001,-0.76115346,0.5323888,0.4611533,1.0708685,-0.841476,-3.326439,-0.6298016,-0.26795197,-0.16242333,0.39342993,0.6526207,-0.45880154,0.9309228,0.3061548,0.7512433,0.23937291,-0.4817965,-0.5217962,-0.51961267,0.22568893,1.151502,-1.066319,0.43353137,0.62366927,1.6785266,-2.0446153,0.7358264,1.3075796,-0.05987388,-0.2767676
2015-11-22,-1.0504739,-0.4924668,-3.0571184,-2.102062,0.29007444,-1.837421,0.771637,0.88318276,0.8275311,3.9925206,0.1420101,1.6665946,-0.6955357,-3.3752072,1.2564769,1.4719561,1.6058002,0.20137915,-1.1958452,1.6104225,-0.795745,0.41447932,-0.42976004,0.15270329,-0.4495265,1.273347,0.27197564,2.7167604,1.2703252,0.8548626,-0.40169734,0.022575706,1.2830052,-0.3004864,0.48298243,-0.9792497,1.1197534,0.39236367,1.3776966,-1.341213,1.4848878,0.93839407,-0.966812,-0.13363066,-0.06538257,0.47640845,-1.7955627,-0.34043908,-3.2328088,-1.845785,-1.3180925,2.1889155,-0.13602507,-1.0559903,2.3601804,0.15783733,-0.75277555,-0.8083058,-1.6452639,-0.85743576,1.3712565,-1.9508116,-0.92239046,0.9331835,0.720725,-2.2009778,-0.424889,2.8485203,0.8749312,0.21307594,0.628695,0.033021107,1.408118,-0.45320064,-2.5028722,0.099829674,0.27654484,0.85094273,0.23406099,-0.55977833,-0.8527913,0.7010827,-2.7257156,-0.74717575,1.7776289,0.23280007,-0.7865808,-0.2696235,-1.9358666,-0.8848289,1.5867386,-0.41467136,-0.4801043,-1.6299121,3.9342427,2.3860981,-1.0417082,0.3887624,0.8558382,-1.7687471
2015-11-29,0.27709633,-0.17730333,1.5202425,1.1475053,0.9996195,0.34384286,1.057434,1.925118,0.39595956,-0.84931934,2.0159178,-2.56387,-0.015902638,5.3314466,0.37867844,-0.5316292,0.68760794,2.4066,-0.9219566,1.48924,-0.70910066,0.07959672,2.5579932,1.2282634,-2.0442433,0.68870056,1.5064679,0.44157988,-0.018432617,0.6075487,-0.6273427,0.6433605,0.6522969,3.229588,0.8125429,-0.45723093,-0.52164835,0.1218503,0.2858715,3.4519901,-0.6141954,0.6650022,-0.087227985,0.7504787,-0.8426269,0.39692974,-0.6511543,0.11982681,-3.741671,0.5025113,-1.1456037,-2.0654638,-1.8293319,-0.21735512,2.8857312,0.40329278,-0.56638986,-1.2546953,0.18396512,-2.6414866,0.8006022,-2.1599422,-3.6111047,1.0728321,0.80675423,-0.85550725,-1.4899383,1.4622413,1.0669303,-0.840198,0.65483665,-0.15799311,-2.5835717,-1.4203513,-1.0085952,-0.9155631,-0.7815243,-0.78898525,0.27370515,-0.3137128,-0.22773767,-0.36407715,-2.6982846,-0.3137939,1.6108332,-0.7919711,-0.5391017,-2.0942054,-2.2601886,-2.6518807,1.0600545,-0.81945634,-0.65709174,0.5561084,3.5190024,-1.7699883,-2.9015446,0.58260953,3.4619694,-1.5409276
2015-12-06,-0.39616644,-1.4709061,0.81373763,0.4254262,0.30971733,-0.29088318,0.74247277,0.5550892,-0.8173938,0.59507245,2.2227316,-1.2515509,-1.0297431,2.561566,0.88884324,2.5068283,-0.24214548,-1.1783173,-0.09315133,0.40373623,0.44115984,0.05259338,1.8781674,-0.4363024,-1.9652152,0.45602262,-0.6586302,1.6701878,0.12685537,1.6513319,0.446864,1.6363709,1.2373052,1.935276,0.10789501,-0.23471648,0.09920326,-1.0748329,2.004229,1.0252703,-2.6400025,1.1181518,-0.15461317,0.8937689,1.2197632,0.23422661,-0.46229386,0.6511899,0.90268785,2.521975,-1.5876442,-2.2953591,-1.2266334,-0.17632867,3.35893,0.6276047,-0.68402034,-1.6577604,-0.44109768,-1.3690844,-0.5903254,-0.41576535,-0.84342235,1.9521648,1.4380767,-0.5844289,-0.8291929,0.8239924,1.5912849,-0.1987775,2.45569,-0.08608976,0.18882427,-0.47662193,-1.1239498,-1.7398392,0.38974455,0.93466306,0.6721485,0.24967748,0.30758932,0.963778,-0.2431094,-1.0866787,1.8073919,-0.36600888,0.52551323,-0.17551243,-1.7146101,0.05436963,1.6786342,-2.4283524,-0.07295153,4.007478,-0.22259998,-2.293919,-2.303411,0.9114193,2.4224803,-0.7887583
2015-12-13,-0.7962344,-3.0645432,-1.5925047,-2.258369,-1.1832863,-1.0055321,-0.6766627,2.0704591,-0.46369374,0.6320539,1.656651,1.114418,-0.28371608,1.600658,2.3720074,1.2459596,-0.51662993,2.5463545,-1.8728279,1.570918,-1.874624,-0.40219527,-0.65629685,0.5354,-1.0986445,1.5407228,0.8342403,1.2650886,1.6013062,0.79595244,0.8910956,3.7222,2.2491708,2.5314784,0.7395773,-2.470122,-1.0194354,-2.5690818,-0.9404204,-2.1116366,-0.08549401,-1.3920903,0.9755346,0.2825266,0.39176705,0.11654131,-1.2085696,0.93110347,-1.8295012,-0.38287804,-0.8127787,-1.4102782,-0.4267481,1.8501205,-0.0509398,-0.42900914,-0.7214926,-2.1470323,-1.7063932,-2.2322001,0.869328,-2.0065403,1.0134981,0.9915476,-0.34444696,-1.718636,-0.576963,1.5246925,0.77114373,-0.6280178,0.30162188,-0.8125502,-0.13590507,-1.0249803,-0.8926207,-2.9725251,-0.85836214,-0.07369584,1.0870812,0.67404497,0.81893003,-1.4698915,-1.2192686,1.2035279,1.5575289,-0.4410207,0.6605436,-1.2663691,0.5157518,-0.97903633,0.76169145,-0.4010641,-1.1920819,0.39797312,1.9656577,-2.6921208,-2.2951775,1.0807695,1.6573361,0.8908728
2015-12-20,-0.26319852,-0.8052519,1.8088335,-0.5367423,-0.53376347,-0.31432635,-1.9350802,-0.48976564,-1.6643376,0.2737069,1.1540506,0.003595382,-0.74442124,-0.23069525,-0.11303276,2.7576742,0.28430358,3.0630603,1.1465786,0.7613019,-1.3737515,-0.61286855,-0.08750713,0.5818467,-0.29444087,1.9884379,-2.9190507,-0.8951168,-0.4575714,2.112207,-1.0136614,-0.43130127,1.2240002,1.2909447,0.9497179,-1.7872579,-0.67008734,-0.4377927,3.045093,2.353972,-0.16028604,1.5076783,0.43824095,0.2455182,-2.274609,0.004607573,-2.2978086,0.4622882,-1.6580383,0.69068426,-1.8315368,-1.1267421,-1.181474,0.3244878,0.33071512,0.973171,0.91355574,-1.8022819,1.1275935,-0.6344054,0.026695415,-0.14694363,2.3785963,0.7830112,1.7569767,-0.9328874,-0.07162845,-0.58024204,1.255097,-1.0477773,-1.2662785,0.78428125,-0.48899677,-0.11176491,-1.120017,-3.3739347,-1.0858867,-0.78201294,0.44674724,0.49024925,-0.33348823,-0.25796944,-2.5520155,-0.20801142,0.19228673,-0.6976575,0.15876877,-0.82582676,1.372231,0.16649127,-1.3204393,-1.7170779,0.26132026,-0.12485182,1.8224695,0.84829,-2.2544265,0.01450932,-0.29051995,-0.66122186
2015-12-27,0.089079104,-1.6036587,-0.0013715029,-2.7181787,-0.75235975,-0.53558487,0.5506367,3.775303,0.0074863434,2.3094928,-0.18351936,-1.0241917,-0.3910298,-2.8923929,-0.45073533,-0.45781362,1.1138635,1.3692954,-2.9320903,1.7602005,-1.0167813,0.4901389,1.1541734,0.94266933,-0.78188944,0.8918321,-2.0140805,-1.943636,0.9782085,1.3653134,0.23297484,3.0387928,1.9212415,-3.3086727,0.2401805,1.6224763,-1.7831593,-3.4248383,0.98063505,0.114872456,-0.3536868,3.2649875,-0.5093838,-0.3400937,0.72123504,0.3274532,-1.2795998,0.5633382,-0.85670817,-0.8866343,-0.094723344,-0.3690833,-0.73072755,-3.38608,-2.2939181,1.1673635,0.5323324,-1.5784826,0.0019986331,1.0153031,0.3064258,-0.46352392,0.6880098,0.89013475,0.625795,-2.289596,-0.867205,0.3086574,0.8181381,0.20657504,-2.3036988,0.012001872,-0.13289677,-1.1184375,-0.95432425,-3.3636732,-0.6014873,-0.0087483525,0.3786073,1.979977,-1.770477,-0.1308171,0.16187799,0.3611471,0.65348583,-0.5375413,-0.2741358,-1.7472235,-2.7224698,0.08385855,-0.21030867,-0.75833213,-0.09016874,1.5620794,0.52504015,-2.571164,-1.1619239,1.515041,-2.9783454,-0.12089497
2016-01-03,0.044621803,0.5145761,-0.21054757,-3.5615933,-1.236458,-1.3790455,0.32642373,1.3328062,0.06062907,2.2001333,0.13375795,1.1517864,-0.36583626,2.867648,1.0500367,0.5884464,0.6698196,0.89957017,-0.70727515,0.7224353,-2.6536388,-0.34972697,-0.47616374,-0.82850057,-0.32042825,1.3726845,0.022567118,1.624639,-0.09406525,0.7322422,1.3542495,1.8065126,-0.4111846,-0.006613016,2.040356,-0.33398473,0.20138052,-2.4645135,1.0004838,-2.6961222,-0.77150667,0.14671797,-0.30394566,0.048715234,-0.16427165,-1.058258,-1.1702198,0.16492467,-1.3022525,0.99285316,-1.7070729,-0.023317218,-0.45417768,-0.80727506,1.756429,1.6106558,-2.9769409,-0.8697983,-1.4963361,-0.26884466,0.31288263,-0.58586293,0.5372843,0.11551559,-0.073237866,-0.6482053,-2.247933,1.7813927,1.5443153,-0.78270227,1.6039946,1.5890144,-0.68720865,0.8744457,-0.118991375,-0.85663044,-0.019478705,2.533348,-0.102232344,-0.1629768,-0.6690911,-1.1624742,0.92188406,-0.8267331,0.64372754,0.027098536,-0.17270058,-1.2428168,1.8270413,-1.2047465,0.48424095,-0.12582576,0.3209477,-0.4407996,0.7764519,0.47320962,0.3504045,1.3052697,0.67973053,-0.80355716
