Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
2015-11-01,-1.1382818,-1.3830336,-0.0005828738,1.0719359,-0.35907704,0.4405688,-1.345535,-0.5979196,-0.41617295,1.2939727,0.7175224,-0.567095,-0.42690596,1.1038246,-0.50269675,0.31077865,0.24623662,-0.29873994,-0.88527775,-0.081992134,-0.9623587,1.7346653,0.81147885,-0.8687279,-1.3319638,0.0034279227,0.8324198,-0.11623425,-0.29614937,0.521492,-0.17792143,0.09389468,-0.32068074,0.99588424,0.10071552,-0.59610605,1.0202615,0.8335651,0.48069686,0.90411264,1.1029725,-1.4523482,1.054648,0.32215238,0.24386,-1.5374748,-0.19856718,-0.082417555,0.35723096,-0.23024012,0.47598457,-3.5447927,1.3490275,-2.032644,0.6757422,-0.9044526,-0.60442054,-0.04750084,0.3903461,-1.8690379,0.5093767,-0.09631057,0.78699327,0.65695167,-0.5087551,1.2178378,0.1944462,0.5668062,0.4217551,-1.1725539,0.5173233,-1.0294237,0.37898427,-0.011751622,0.22719353,1.6331855,-0.36821955,-2.1575718,-0.39506283,-2.2245724,-0.03502935,-0.8586186,-1.0105692,1.1346272,-0.16804048,0.7739563,0.9192897,0.560837,-0.15573065,-1.4141648,-0.28158122,-0.24721701,0.87293994,0.5596372,-0.025501557,1.0411845,0.28117013,-1.1203249,0.5429853,0.24480402,-0.6996247,0.32487112,-1.4655296,0.21027716,1.8726496,-1.6736586,0.59223866,-0.28563964,0.5774329,0.92083013,0.71099186,-0.24307394,-0.24044348,0.23611668,-0.4267344,0.10748799,0.003963582,0.16085982,-0.24576546,1.5420711,0.0524273,0.8242911,1.0816528,-0.36499482,-0.7313534,-2.4428325,-1.0121658,-0.6048548,0.0077771544,0.6965072,0.61451495,0.16465554,-0.051413193,0.43299308,0.27626288,-0.5871328,-2.394257,0.0590014,-0.35839045,0.28656876,0.45148748,-1.684072,0.391882,-0.12571093,-0.6937366,0.21204506,1.2674079,0.68030953,-0.05290258,-1.4900329,-0.120245904,-1.0586095,-0.7807876,2.8583891,1.8245561,-0.51964355,-0.1300397,-1.0949473,-1.0892417,1.396803,-0.30091593,1.0345141,0.58753014,0.7299119,1.1714294,0.7613171,0.9031608,1.1959373,-0.19917992,0.7325822,0.57560146,-0.074330315,-1.677915,-1.3344635,-1.1292845,-0.40995783,-0.27161187,1.519586,-1.1614397,-0.16428661,0.93335754,0.0591627,1.118825,1.871755,0.8527813,0.7066177,0.2206094,0.26415396,-0.87575114,0.5144173,-0.47482437,-0.10295823,0.8743754,-0.63309425,0.39467573,-0.026532337,1.6171632,-0.54909575,-1.4657831,-0.29874226
2015-11-08,-0.78371197,-0.87907755,0.89000547,-1.4609274,-0.009188071,-1.0294402,0.53212225,-0.5332186,0.8884852,0.05785183,0.9590264,0.73731726,0.5656232,0.3632651,-0.38179883,-0.07108149,0.7751492,0.19321114,0.35374126,-0.0970311,1.1659127,0.60795856,0.31458902,-1.4110563,-1.5606709,-0.92615247,-0.07084255,1.0028669,-0.26178277,0.38474083,0.39193934,-0.782492,0.12103793,0.66574407,1.0688391,-0.60768306,0.5899761,0.43358457,-0.42691144,-0.4436718,-1.5371568,-0.26275623,-1.7248894,-0.73682666,-0.27181652,0.28756377,-0.3201857,-0.064279556,-0.22659695,0.28346074,0.40228146,-1.4414148,-0.3712765,-0.14682506,1.6777003,0.16096807,-0.42920884,0.15461731,-0.5729939,-0.5956167,-1.1157587,-0.49331236,1.7179173,-1.4812962,0.70078087,0.10485791,0.16319239,1.8649036,0.5390742,-0.53638774,-0.4343741,1.5585946,-1.7772524,-2.2850697,-0.36569715,0.69844955,0.017228201,-0.5654003,-1.1024557,0.44606823,-0.8634607,-0.9180975,1.1544551,0.96341443,-0.67462254,-0.11847898,-1.4102906,0.72217387,-0.73252046,0.8910756,0.05581013,-1.1022409,0.74717486,2.2749994,0.0044671223,-0.08624387,-0.4922769,-0.5049901,-0.14021015,-0.47799253,0.13908204,0.05993156,1.110923,1.0829991,-0.28807425,1.0333418,0.063019425,-0.36172605,-0.8876679,0.20293179,0.055709243,-0.13112767,0.08622262,-2.9157503,0.57657474,1.0707616,0.4869098,-0.637557,-0.06765668,0.8402589,-0.084455565,-1.1602421,0.2500107,-0.2617462,-0.78479385,-0.23296028,-2.0651124,-0.96314645,0.62861526,-0.3980151,-0.14423482,-0.6560099,1.0907749,-0.6453272,0.7501069,-0.36154598,0.68497366,-1.0444585,0.87661535,-0.008064918,0.1423381,1.4532583,-0.41349065,0.32748792,0.6035486,-1.8788284,1.6039367,0.6219424,-0.043518122,-0.72316897,-0.4918103,0.18878496,-0.118127726,-0.4516709,-0.19665743,0.4651026,0.5310852,0.054328516,0.38559026,-2.5158815,-1.3050964,-0.3698023,0.24733764,0.9676208,-0.0819571,-1.1244637,0.27122262,1.0748035,-0.014299393,-0.7958714,0.08009684,-0.40559897,0.21202746,0.4147565,-0.560429,-0.37113288,-1.394111,1.034926,0.7109261,0.55520123,0.67737275,-0.2531566,0.03635186,0.8649826,-0.23005646,0.38908362,0.18914951,-0.54504526,-0.4948626,0.387856,-0.33089948,1.2825522,0.93026346,0.6072496,0.7759836,-0.5302872,1.0451882,-1.4495511,-0.31940916,-0.36450428
2015-11-15,-0.71112436,0.7805053,0.6321262,-0.2048684,1.2914175,-0.26274315,0.27651227,0.55411065,0.6197498,-0.7143488,-0.72720695,-0.45190468,0.5527983,-0.01382462,-1.2527962,-0.26881677,-0.405476,-0.5133685,-0.29209232,-0.7884325,0.960446,-0.05688391,0.9003105,-0.78658885,-0.581681,0.6319343,-0.7477871,1.7635682,-0.98789257,0.11610475,0.1568154,-1.1530935,0.25646597,0.8772684,0.4148434,-0.5768166,0.009746477,-0.44544485,-0.27920896,0.3649863,-0.36390767,-0.14492345,0.04791698,0.2023012,1.1107173,0.49007073,0.7099183,-0.6885856,-0.7952145,-0.19350441,1.4069082,-0.47389138,0.29823786,1.0422677,-1.2003996,-1.1221801,-0.080606684,0.5629279,0.7186378,-0.5484097,-0.043057352,-0.17441303,0.2985538,0.3638243,-0.033282608,-0.24232092,-0.7495351,0.5940529,-0.5134823,-0.07113129,0.2812173,-0.5417464,0.24656905,-0.15448982,-0.9495166,-0.42312515,-0.43474835,-1.071344,1.1449498,-0.53854334,-0.46359545,-0.25310534,0.333368,-1.4824512,1.2653068,0.7671907,-1.2347001,-0.387392,0.5591646,0.18834358,1.532134,0.54432136,-0.12762442,0.24294709,-0.2582638,0.4845761,0.100957826,0.70602715,0.48330143,0.9155953,0.77872664,0.21063764,0.22649987,-1.2360564,0.6175374,1.8236922,-0.9087072,-1.4198165,-0.12310628,0.25825888,-0.45516086,-0.059827387,-1.4189683,0.69865304,0.21856695,0.23353598,-1.2753799,0.067014426,0.6624635,1.2785214,-1.074873,-0.59936297,0.85410476,0.36457664,0.2497224,0.015093893,-1.2533298,1.0659956,2.0728633,-0.5011027,1.5317168,0.385456,-0.7089671,0.432355,0.056924075,-2.0017343,0.8735403,0.35634303,-0.04851278,-0.5324976,0.8002531,-0.525577,-0.95247185,-0.2945112,-0.14760785,0.70335245,-0.3506573,1.4172927,-1.6689081,1.303323,-0.47022915,-0.34700558,-1.2522285,1.3070002,0.06515318,-0.09644584,-0.6922321,-1.1290298,-0.38445163,-0.0862916,1.6905978,0.08742434,-0.9380661,1.6801244,1.2773514,0.69273233,-0.4304297,-0.05776897,0.5337284,2.198767,-1.3238394,-1.0118457,-0.7964562,0.72632486,-1.6747339,-0.848356,0.21692859,-0.22238359,0.83262694,-1.4979544,0.26249883,0.3843239,0.89976335,0.48154074,0.6628324,0.067058444,0.49398983,-1.3419684,0.26087734,-0.2370899,0.24825725,-1.0382824,0.38791096,-0.30665106,0.4628352,0.19147283,0.5283037,0.1365282,-0.33781868,-1.6406506
2015-11-22,0.38520145,0.014107712,0.82281876,0.3248642,-0.7542274,-0.9483218,0.41198233,-0.0686159,0.90885866,-1.6771582,0.7168278,0.12611417,1.3837869,0.8111463,-0.36934352,-1.110867,0.021455213,0.7178212,-0.4020943,1.2198733,0.08708422,-1.1728365,-1.7679595,-0.8402053,-0.9711652,0.5907093,0.5993096,-0.3004876,-0.43411672,-1.2501607,0.45091188,1.3250544,-1.7154415,0.14962557,0.94701815,-0.31003368,-0.7372632,0.107105926,-1.3767173,-0.688538,1.2206234,-0.029614389,-0.4903421,0.03857428,-0.07635486,-0.6586648,-0.57554036,1.0661404,-0.3087684,0.8559925,-0.13750954,-1.284482,-0.9678476,-0.28056782,-1.4468708,1.2093844,0.29171452,0.72384125,0.14577842,-0.82601196,0.33761838,-0.7879282,0.48544812,-0.27044013,-0.18515912,-0.89542055,0.15285704,-0.7341387,-0.22576493,0.6107963,-0.046677798,0.49048808,-0.4436083,0.61758053,-0.21843463,-1.3173447,-0.4534178,1.0454433,0.35643432,1.1290481,-0.6497968,1.275481,-0.3236326,-0.94052386,-0.085883915,0.16070423,-1.1758838,-1.6330792,0.09953096,1.0892766,0.53170097,1.1073623,-0.41890347,1.3948705,0.6026133,0.92194915,0.3349255,-0.2935622,0.13848141,-0.2447443,0.76888204,1.4694772,-1.0528306,-0.37007836,0.85176563,0.3129853,0.84864426,-0.7950213,-1.3431329,-0.9002357,1.3596227,-0.62221706,0.05347705,-0.30144462,0.23591168,-0.29698068,-0.084212095,0.68490756,-0.077357054,1.2031975,0.8986955,0.7904833,-0.05943314,0.8789176,0.11914675,1.0701616,-1.1898869,-0.4258808,0.80230874,0.20718895,0.32869744,1.3120586,0.2692263,0.76809174,0.0018124618,-1.1360631,0.019999295,0.76138306,0.18846914,-1.6230243,0.7096124,0.0876478,0.37540534,-0.8706437,1.4884607,1.5464156,-0.3587491,-0.14053392,-1.0481579,-0.67167777,-0.862984,0.17989096,0.28768823,1.2926059,0.34313828,-1.2628511,-1.3834924,0.12083134,1.0319253,2.0883582,1.280077,1.5762553,-0.46508747,-1.3604997,0.8713765,0.34313613,1.4631997,0.31889528,-0.2639874,-0.37022042,0.79407716,-2.0793016,-1.5659256,-0.7854331,-1.1883115,-0.9815358,0.3943892,1.8351188,-0.5744189,0.19739568,-1.2241733,0.012715578,1.0939894,0.35042727,0.73697484,-0.37561488,0.16659912,-0.35148746,-0.24334535,0.827601,0.7832849,2.0222409,-0.63850915,-0.33589453,0.24214178,0.41741288,-0.65468186,1.3341023,-0.06238377,0.3676323
2015-11-29,-0.32229534,0.38524646,-0.2019231,0.21683879,-1.2105274,-0.35822064,0.17052813,1.7241333,0.48446238,-1.1288053,-0.7572677,0.22868662,1.6605277,-2.4225283,0.7781499,-0.8873735,-1.3936162,1.3268726,-1.1191709,-0.46890536,0.79813534,2.0613024,0.38100052,1.636028,-0.6934577,-0.5334411,0.35122895,0.3767404,-0.079615116,-0.24468106,1.9859383,-1.0751445,-1.004359,-1.2278159,0.15723523,-0.1686318,-1.453286,-0.40984625,0.1820017,-1.6409822,-0.61762476,0.9098874,-0.30133733,0.69703954,1.0148557,-0.05136897,-1.268293,-1.4750956,-0.13354522,-0.422274,0.2416648,0.43912816,1.7124661,1.1586919,-1.3977417,-0.25823036,-0.9443383,-0.49291304,-0.5477276,-0.8789753,-0.7725874,0.2614324,-0.61088127,1.1140087,-0.8683932,-0.78739864,-1.2769138,-0.77952415,-0.446682,-1.9503274,-0.030449048,-1.0196416,-0.34815937,1.8880856,0.5791289,0.8208002,-0.14063853,0.37493742,1.1666188,-0.8979263,-0.7256369,0.630658,-0.9543412,-0.33203167,-0.31635165,0.25697705,-1.0459602,0.08425003,0.69889957,-0.2793606,0.5794469,-0.6186397,0.6245806,-0.49552366,0.58009684,-0.72660863,-0.30985996,0.552029,-1.2833679,-0.46562028,-0.26834887,-0.80822253,-0.53805315,0.2003198,0.24790572,0.25268304,2.188589,-0.62331605,-0.31818867,0.7470541,-1.5367289,-0.11636292,1.3483136,-0.31441522,0.69192,1.7450229,0.4437443,-1.1632618,0.30882066,-0.6490575,-0.97479683,-0.15683348,0.9712054,-0.13344082,-0.52686954,-1.1966294,0.90123546,-0.4515984,-0.25092828,0.34061873,-2.0371323,0.13130121,0.107706584,1.349955,-0.2715136,0.19419084,0.9478178,0.29908475,0.56586516,1.4970922,0.34952492,-0.3303262,0.09110186,-1.2922478,-0.29793876,-0.30462316,0.41420877,-0.26133573,0.67190665,0.82041365,-1.2740265,-1.0268803,0.7329035,0.0383725,0.26392785,-0.08689064,-0.48344195,-1.2535117,0.28806776,0.061793834,-0.19862956,0.87148863,1.2846099,0.15670282,1.5644996,0.6631729,-0.40985054,1.5272036,0.24421747,-1.2525133,-0.1615822,0.53556454,0.23391333,-0.0037976168,2.6528282,-0.06127817,-0.20241019,0.8652198,-0.74748075,1.3148239,0.13093778,-0.042832118,0.75305974,-0.6999299,0.71211505,-1.404703,-1.632343,-1.4117925,-0.34240013,0.36055696,0.29384482,1.2112328,-1.1031048,0.35812795,0.2578942,-0.54859835,0.28882173,-0.37555042,-1.4400988,-0.4909666
2015-12-06,-1.4037793,-0.46800932,-0.4501834,-0.011317365,-0.9531804,-0.15794778,-0.10823016,1.2823074,0.10463029,0.9126049,1.6799166,-1.2421285,-0.15056337,1.4564753,-1.4585775,-0.16411245,-0.31752184,-0.3493153,0.06748693,-2.056643,-0.05679129,-0.7173996,-0.46729586,-0.5087744,1.1199366,-0.41361094,-0.99465185,0.7927054,0.49101773,-0.16916019,0.7442986,0.08703597,0.53857434,-0.21663608,-0.29532033,0.8280858,-1.3592842,-0.5713382,0.62735516,-0.4249658,0.33766666,-1.0261791,0.56014484,1.4428518,-1.1805738,0.7222243,-0.13745032,-1.0624131,0.2975394,0.50747764,1.6021304,0.34737968,0.44060048,0.37573472,-0.3896641,-0.705631,1.0107595,-0.37933186,0.5658946,-0.016176075,-0.9100139,1.52911,-1.0925407,-0.23407182,0.831923,-0.5285925,1.1946709,-0.57677776,0.094663,-0.12645638,0.69571435,0.012664542,-0.8402982,-0.46916026,1.2772331,-0.51555294,0.1684429,0.07743077,0.72795445,-0.058190517,0.44008213,-0.62003577,0.02395047,0.12362598,-0.18897341,-1.3613625,1.3972551,-0.07658853,-0.056168452,-0.10721044,1.2542777,-0.46256086,-0.34432173,-0.35787433,-0.20745373,0.7525046,-0.59532064,-0.7436702,-0.051340103,0.26638573,0.43360052,-0.10100298,1.1389651,-0.18111607,-0.78244096,0.4468872,0.4097308,-0.48608577,-0.61881745,-0.004922554,-0.459922,-0.96351945,-1.3844402,0.02016417,-0.40878233,0.15485787,0.55506766,-1.0503504,0.52986693,-0.40319562,1.0389515,0.36994344,-2.2068763,-0.1352118,-1.0835639,-1.508487,-0.41528803,-0.9213395,0.5013377,-0.47794104,-0.11774963,-0.8025397,0.36746073,0.15808657,0.37894273,0.8204916,0.37001806,0.20731404,0.6004416,0.123592004,-0.29521155,1.2165289,-0.119092375,-0.6721724,1.8489617,-1.5287653,0.33128244,-0.24363382,-0.2895783,-0.29333967,-0.43706444,0.7194096,1.548244,0.5411394,1.0108494,-1.2526155,0.6520691,0.20922977,0.57157916,-0.06926663,0.13485453,-0.5546367,1.397661,0.92628753,1.6853921,-1.0115982,0.106083155,-0.015163086,0.22996487,-0.116982326,-1.0062189,0.20343576,-0.50231063,1.1307225,-0.15844671,0.11468655,0.7087825,-0.9267174,-1.1081684,1.4910238,0.27469873,1.3954535,0.43187696,0.3633989,-0.9854394,0.4984074,-0.4512921,0.1979819,-0.24434766,0.30876583,0.0699331,-0.18414158,-1.0095743,-0.06203814,-0.40349236,1.3928012,0.23029718,0.847963,1.1636157,0.16869736
2015-12-13,0.14219284,0.1157909,-0.77958024,-0.489722,1.6751496,0.9099747,0.68708616,0.28142133,0.70770645,-1.6009754,0.9137783,0.88134253,-1.3312247,-1.3200861,0.7254976,0.15056944,-0.4043367,-0.31418818,0.0167306,-0.5891611,-0.06803718,1.5852164,-0.6976709,0.85150707,0.7624,0.8822049,1.5872257,-0.8537406,-0.5164163,-0.8556733,-1.3688741,-1.3342403,-0.20848112,-0.36615238,0.39729884,-0.4855515,0.9946192,-0.047126718,-1.9602199,-2.369133,0.6433348,-0.15620045,-0.43323702,-0.34369236,1.2531533,-0.9935441,-0.82370853,-0.2321448,-0.24599408,0.91428,-0.3286283,1.7344079,-0.66195995,-0.6206297,0.14831749,-0.16307776,-0.99895185,0.8439349,-0.008792475,1.07971,-0.95876074,-0.04985109,-0.459014,-0.3954075,1.3253613,0.22868791,0.27330017,0.8205167,1.7661833,-0.13745463,0.31789863,-0.11532644,1.2747667,0.4693386,0.31303024,0.15729551,-0.6169737,-0.02461369,-0.4404775,-0.16893396,-0.2063112,-1.0899167,0.7811522,0.32485357,0.056745496,-0.21291378,-1.2716185,0.93728554,-0.74397236,0.3713088,0.10647379,-0.66424775,3.0029125,0.7014361,0.4126378,0.24018943,0.28600883,-0.49574196,-0.2926439,1.4291155,-0.63398075,-1.6414952,-1.0321676,0.73099613,-0.89767593,1.1573665,-0.7777618,1.6255124,1.0132015,-1.429866,0.18218362,0.74512005,-1.0942544,-0.31749073,-0.6606821,0.58189946,-0.33690366,1.2961489,-0.09810911,-1.3129523,0.18149564,0.27722058,0.20484446,-1.3355405,1.0192667,-0.37326938,-0.092506096,-0.38104254,0.48706156,-1.1759236,-0.6162629,0.7523116,2.312959,0.66564,0.26064637,0.16025293,-0.13398851,0.48940942,0.75674903,-0.056345668,0.32886848,-1.7070765,1.2580494,0.49748343,0.43748114,-2.2539065,-0.564077,-0.24897672,-0.76824486,0.60046434,-1.3105835,-0.231445,-0.8139804,-1.1682233,-1.3340528,0.8356605,0.41267043,-0.031558894,0.5904816,-0.5261203,0.7543072,0.25270048,-0.84925115,-0.17225984,2.0788434,1.1815529,2.4776855,-1.2368875,0.89319515,-0.12189355,-0.6609943,-1.3566074,0.0874404,0.02527441,0.42411697,-1.2432209,0.51246184,0.49469328,0.43500754,0.8578915,0.053266793,0.053587947,-1.8178855,-0.99132615,-1.2111887,0.31809223,0.69055086,-0.35847682,-0.79049104,-0.39203972,1.1060896,0.06630347,-2.0355327,0.63038915,0.4172426,-0.5522169,1.5388366,0.25006467,0.7432182,-0.3641437
2015-12-20,-0.39160243,0.16500664,-0.0035625994,-0.32261413,0.42993984,-1.3156018,0.44132277,0.28619957,0.4902842,-0.64589846,-1.3427122,0.8081052,1.3673573,-0.021635298,-2.4850428,-0.6934766,0.50149846,-0.62541485,0.7747465,-1.1745303,0.20089462,-0.016825408,-0.44073558,1.5503392,-0.14653897,-0.8543662,1.3464379,-0.9379531,1.1525896,1.467776,1.0229886,1.626842,0.15799713,-1.3088245,-0.83840775,-0.9269982,-0.6436143,1.3307985,-0.84529984,0.09566951,-1.5162994,-0.17796502,0.2775275,0.6905368,0.49896094,0.36876485,-0.6532748,-0.565927,-0.40286273,0.12242212,-0.95498186,0.1686706,0.31239548,1.1354287,-1.0239997,-0.03514018,-1.0896226,-0.31590277,-0.2060745,1.1897259,0.4556329,0.07301496,-1.9318534,1.1128564,0.4902108,-0.34476233,0.8284193,0.886708,1.6809654,-1.9492346,-0.7317806,-0.15485479,-0.73866564,1.5983108,0.9629725,1.2927833,-1.805017,0.10619688,-1.4312484,-1.2181113,0.7618395,0.5594058,0.32314605,-0.14863351,1.2773438,-0.43701494,0.41428748,-1.0292897,0.35841215,-0.081902325,-0.94637275,-0.16579634,-0.81032205,1.2254183,-0.2517693,-0.93455315,0.077438645,0.7858164,0.09628133,-1.5382435,1.6200708,-0.92008305,0.9136644,-0.71841264,0.9555215,-0.7118125,-0.859409,-0.38248342,0.002694644,-0.19142237,1.0188994,0.5857212,0.31230718,1.2840117,0.9457486,-0.4736045,0.2820357,-0.59914726,-0.25107217,-0.24192569,0.6191071,0.13023509,-0.27847248,-0.6461134,0.6976221,0.8542386,-0.12148598,0.33715984,-1.7611095,0.34981853,1.0931861,0.9861783,-0.24366799,1.6829973,0.69868404,0.3736977,1.8037314,-0.29729712,1.1185564,0.13177803,-0.71569765,1.1102155,1.1800914,-1.4611064,-0.7690071,-0.51226103,0.6803347,-0.26816723,-0.5855994,-0.2812536,0.25878224,1.6928279,0.5288984,0.57144815,-1.7612894,0.35843366,-0.62314725,0.36134377,-1.6538813,-0.15641391,-0.3598838,1.3863221,-0.24660477,-0.20291047,-1.2604966,0.1522731,-0.4063866,-0.82978,-0.33006182,-0.37931004,1.0133388,-1.4592439,1.1544324,0.042618155,-0.5000771,-0.5892943,1.0937889,-0.33968595,0.13352941,0.5770652,0.61482024,-1.0343322,-0.025794148,0.833367,-0.16817015,0.020331174,0.1759089,1.496106,0.6513163,0.024111807,1.0247535,-1.2415491,1.1758394,0.60678697,-0.47867453,-0.13203678,0.51153845,1.6545048,2.248793,-1.6253357
2015-12-27,0.33274823,0.34064013,0.68547225,0.089348584,0.70797217,-0.8143974,1.2539902,0.44512424,0.3313985,0.9725503,-1.6875153,0.2627661,0.89906514,-0.41947803,-0.011772245,1.4730883,-0.085810706,-0.8029267,0.3737453,0.46299422,-0.68638515,-0.8781749,-0.5217853,1.0075434,-0.6658363,0.9801403,-0.08846723,-0.5107529,0.17607653,0.22610876,-0.14180428,0.1493509,-0.703262,-0.5936241,0.01849562,-0.22880799,-0.60505784,0.7191498,-0.15660505,0.39443934,-1.1458125,0.31997564,-0.42849392,1.4772546,1.8007729,-1.5883176,-1.7084681,-0.45023763,-0.3331338,-0.97912,-0.6037303,0.014438033,0.17778112,0.7766546,-1.456898,1.1928968,-0.41045117,0.4970976,-0.6954331,0.90273607,2.1273427,-0.23282035,0.24544369,0.29555514,1.2656542,0.20103583,1.1345913,1.3492051,0.027125716,0.24220604,-0.33136135,0.65562737,0.24571522,-1.2109486,-0.18779716,-1.5774806,-0.4559951,-0.41975296,-1.0128196,1.3106351,0.45587727,0.10107013,-1.3816851,-1.0947576,-0.33447573,0.219257,-0.807689,-0.6380635,0.95140195,0.1110068,-1.1549778,1.3454964,-0.15350646,1.194383,-0.35508394,-0.31185776,0.13161741,0.4291283,0.19156325,0.16133101,0.20776099,0.4474468,-1.1107152,0.5959459,0.27344716,0.8755356,-0.69380647,-0.9261147,-1.2933699,-0.064253345,-0.13599478,-1.531578,-1.1586905,-1.203801,0.5155376,-0.4869034,-0.5030188,0.4705125,0.329759,1.2193289,-0.51533484,0.30325922,0.14673121,-0.496781,-0.799073,0.79145926,0.045628875,1.0299845,0.19752347,-0.92264456,-0.69579744,0.025750324,-0.28785488,-0.7208339,0.20617451,-1.1960342,0.021406904,-0.14473088,0.6318275,-0.992031,-1.5442275,0.42535263,-0.7950061,1.1777166,-0.05358707,0.6922188,0.4123538,0.6047532,-0.17864051,-0.06702991,0.69639,-0.28878492,1.9401374,-0.7431029,-0.63061273,0.22129367,-0.06142353,0.089394495,0.4185023,0.016138442,1.8879976,0.36903778,0.24950936,-0.9992908,-0.5664809,-0.992687,0.0464831,0.13062236,0.480143,-0.11000916,-0.5424787,-0.5258197,-1.1761109,0.008798331,-2.4890072,-0.933825,-0.15638968,-1.4594615,0.6370689,0.7948277,-0.04986034,-0.46506256,1.6745079,-0.254046,0.15887988,-0.7371148,0.6290785,-0.70291024,-0.29006052,0.2599867,0.7622791,-0.31880385,0.1207971,1.0222623,-0.9119217,0.41144735,1.1825732,-0.40822327,-1.1361965,-0.5240176
2016-01-03,0.06463218,0.79291767,-0.8952046,1.5132797,2.043146,0.20847614,0.36656192,0.7031094,0.45481262,-0.9730661,-1.1488622,0.65854937,-0.019006476,1.9315773,0.11040527,-0.7127265,0.3886612,-0.50586945,0.7954728,-0.1384075,-0.11488758,1.788463,0.90256643,0.68315446,-0.19461828,0.9074178,1.7779504,-1.1176702,0.06353755,-0.7219374,-0.18044817,-1.2665273,-0.41391242,-0.36520293,-0.5704619,0.58823717,-0.031450965,-0.3810767,-0.4671905,0.40163186,1.2958529,-0.75478244,-0.84433293,0.067943454,1.6924107,0.02710907,-0.038131237,-0.3256911,0.84199333,-0.27849722,-1.0319265,0.98618126,-0.219154,-1.3910406,-2.0139322,2.078625,-0.8936672,-0.08821254,0.07423478,0.53474337,1.3362143,0.0014968514,0.83732426,-0.16628253,0.80088764,-0.2702892,-0.56262016,-0.12710151,-0.2827172,1.4202212,0.09685385,-0.37915286,0.058454297,-0.44342035,-0.38275945,-0.94294715,-1.0614091,-0.73191464,0.4476486,-1.956503,-0.92357105,-2.25841,0.026815541,-0.54204327,-0.21558991,-0.3638924,0.68308127,-0.9564277,0.19803934,-1.2205902,0.13453536,-0.49276063,-0.47789964,0.32058793,1.2124401,-0.61832607,0.09841437,-0.116188124,1.2548292,0.26233464,-0.37998146,0.100225344,0.33598012,-1.2584412,0.3626186,0.3763132,-1.0893165,-0.6797486,0.24490646,0.03724438,-0.14399901,-0.11217518,-0.51449656,-0.47342372,-0.2336483,1.4063717,-0.71298456,0.6981273,0.006747827,-0.25018543,-0.16786233,0.82046604,-1.0732404,0.27901185,0.30646956,-0.060221255,0.12202269,0.56358314,-0.20671783,-0.32530105,0.43373838,0.62549174,1.3093497,2.0218375,-0.54452276,-0.61152655,0.27689064,1.4640862,-1.3010626,-0.49225533,0.38966975,0.8475137,1.0545044,-1.0480682,0.58428323,-0.3767764,-0.30615336,0.34676278,1.1843407,0.87812924,-0.46747878,-1.2371035,-0.7622177,0.7676918,-0.62454003,0.052538984,0.08618697,-0.77422976,0.44775403,-0.08248073,-1.2437327,0.7104902,-0.16049625,0.035012305,-0.118997276,0.052656084,0.09321058,0.31426847,1.2416922,0.6780893,-0.4726089,-1.351613,-0.93514454,-0.36840305,0.65046436,0.029624984,0.379988,0.4874258,0.25310928,-0.96039075,-0.54701245,0.56402457,1.7558877,0.35163566,-1.65487,-0.75798655,-0.6994927,0.39667135,1.10889,-1.1632875,0.033568412,-0.28423724,0.5799604,-0.15438756,1.2985532,0.8535612,0.97895265,1.1137209,-0.43096697,-0.70509183
